,date,species,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes_on_plant_char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,end_time,thermocoupler_height,hotplate_height,notes_on_flam_data,Species,end_ct,glow_start_ct,glow_end_ct,maxflameht_ct,firstigstart_ct,secondigstart_ct,firstigend_ct,secondigend_ct
12,2022-08-03,ARTCAL,4.0,1.0,SM,yes,25.0,5.0,3.0,18.06,17.0,0.22000000000000003,,2023-06-19 12:12:33,2023-06-19 00:00:13,29.5,40.0,1.0,2023-06-19 00:00:43,0,,,,,,,,,2023-06-19 00:04:41,2023-06-19 00:04:41,19.0,16.5,,ARTCAL,2023-06-19 12:17:01,2023-06-19 12:13:03,2023-06-19 12:17:01,,,,,
13,2022-08-03,ARTCAL,4.0,2.0,SM,yes,25.0,7.5,4.5,18.38,12.0,0.19,,2023-06-19 12:19:54,2023-06-19 00:00:10,30.5,39.0,1.0,2023-06-19 00:00:33,0,,,,,,,,,2023-06-19 00:04:10,2023-06-19 00:04:10,19.0,16.5,,ARTCAL,2023-06-19 12:23:54,2023-06-19 12:20:17,2023-06-19 12:23:54,,,,,
14,2022-08-03,ARTCAL,4.0,3.0,SM,yes,25.0,7.0,2.5,18.23,6.0,0.22000000000000003,,2023-06-19 12:25:37,2023-06-19 00:00:15,30.5,39.0,1.0,2023-06-19 00:00:37,0,,,,,,,,,2023-06-19 00:04:39,2023-06-19 00:04:39,19.0,16.5,,ARTCAL,2023-06-19 12:30:01,2023-06-19 12:25:59,2023-06-19 12:30:01,,,,,
15,2022-08-03,ARTCAL,4.0,4.0,SM,yes,25.0,7.4,4.7,18.53,14.0,0.16999999999999998,,2023-06-19 12:31:49,2023-06-19 00:00:07,30.7,39.0,1.0,2023-06-19 00:00:30,0,,,,,,,,,2023-06-19 00:04:30,2023-06-19 00:04:30,19.0,16.5,,ARTCAL,2023-06-19 12:36:12,2023-06-19 12:32:12,2023-06-19 12:36:12,,,,,
16,2022-08-03,ARTCAL,4.0,6.0,SM,yes,25.0,5.0,3.6,18.14,6.0,0.16,,2023-06-19 12:49:53,2023-06-19 00:00:39,32.2,36.0,1.0,2023-06-19 00:00:58,1,2023-06-19 00:01:52,2023-06-19 00:01:55,,,,,2023-06-19 00:01:54,30.0,2023-06-19 00:03:09,2023-06-19 00:03:09,19.0,16.5,,ARTCAL,2023-06-19 12:52:23,2023-06-19 12:50:12,2023-06-19 12:52:23,2023-06-19 12:51:08,2023-06-19 12:51:06,,2023-06-19 12:51:09,
17,2022-08-03,ARTCAL,4.0,7.0,SM,yes,25.0,5.1,3.1,18.0,3.0,0.16,,2023-06-19 12:54:27,2023-06-19 00:00:13,32.2,37.0,1.0,2023-06-19 00:00:26,0,,,,,,,,,2023-06-19 00:10:15,2023-06-19 00:10:15,19.0,16.5,,ARTCAL,2023-06-19 13:04:29,2023-06-19 12:54:40,2023-06-19 13:04:29,,,,,
18,2022-08-03,ARTCAL,5.0,2.0,SM,yes,25.2,2.5,2.6,18.18,3.0,0.12,,2023-06-19 13:28:13,2023-06-19 00:00:38,31.9,40.0,1.0,2023-06-19 00:00:55,1,2023-06-19 00:02:26,2023-06-19 00:02:34,,,,,2023-06-19 00:02:26,9.0,2023-06-19 00:04:54,2023-06-19 00:04:54,19.0,16.5,,ARTCAL,2023-06-19 13:32:29,2023-06-19 13:28:30,2023-06-19 13:32:29,2023-06-19 13:30:01,2023-06-19 13:30:01,,2023-06-19 13:30:09,
19,2022-08-03,ARTCAL,5.0,3.0,SM,yes,25.0,2.9,3.0,18.66,2.0,0.16999999999999998,,2023-06-19 13:34:09,2023-06-19 00:00:12,31.6,41.0,1.0,2023-06-19 00:00:52,0,,,,,,,,,2023-06-19 00:08:13,2023-06-19 00:08:13,19.0,16.5,,ARTCAL,2023-06-19 13:42:10,2023-06-19 13:34:49,2023-06-19 13:42:10,,,,,
20,2022-08-03,ARTCAL,5.0,4.0,SM,yes,25.0,3.0,2.2,17.71,0.0,0.11000000000000001,,2023-06-19 13:48:32,2023-06-19 00:00:42,31.6,39.0,1.0,2023-06-19 00:02:13,0,,,,,,,,,2023-06-19 00:05:40,2023-06-19 00:05:40,19.0,16.5,,ARTCAL,2023-06-19 13:53:30,2023-06-19 13:50:03,2023-06-19 13:53:30,,,,,
21,2022-08-03,ARTCAL,5.0,5.0,SM,yes,25.0,2.9,2.1,18.67,5.0,0.13,,2023-06-19 13:54:58,2023-06-19 00:00:24,31.7,39.0,1.0,2023-06-19 00:02:31,0,,,,,,,,,2023-06-19 00:06:42,2023-06-19 00:06:42,19.0,16.5,torched heavily being put in,ARTCAL,2023-06-19 14:01:16,2023-06-19 13:57:05,2023-06-19 14:01:16,,,,,
