Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
1,2022/10/27 14:55:46,0,+  20.5,+  20.5,+  20.2,+  20.3,+  20.0,+  19.9,-0.003,-0.002,LLLLLLLLLL,LLLL
2,2022/10/27 14:55:46,500,+  20.5,+  20.5,+  20.2,+  20.3,+  20.0,+  19.9,-0.003,-0.002,LLLLLLLLLL,LLLL
3,2022/10/27 14:55:47,0,+  20.5,+  20.5,+  20.2,+  20.3,+  20.0,+  19.9,-0.004,-0.002,LLLLLLLLLL,LLLL
4,2022/10/27 14:55:47,500,+  20.5,+  20.5,+  20.2,+  20.3,+  20.0,+  19.9,-0.004,-0.002,LLLLLLLLLL,LLLL
5,2022/10/27 14:55:48,0,+  20.5,+  20.6,+  20.2,+  20.3,+  20.0,+  19.9,-0.004,-0.002,LLLLLLLLLL,LLLL
6,2022/10/27 14:55:48,500,+  20.5,+  20.5,+  20.2,+  20.2,+  19.9,+  19.9,-0.003,-0.002,LLLLLLLLLL,LLLL
7,2022/10/27 14:55:49,0,+  20.5,+  20.5,+  20.2,+  20.3,+  20.0,+  19.9,-0.003,-0.002,LLLLLLLLLL,LLLL
8,2022/10/27 14:55:49,500,+  20.5,+  20.5,+  20.2,+  20.3,+  20.0,+  19.9,-0.003,-0.002,LLLLLLLLLL,LLLL
9,2022/10/27 14:55:50,0,+  20.5,+  20.5,+  20.2,+  20.3,+  19.9,+  19.9,-0.003,-0.002,LLLLLLLLLL,LLLL
10,2022/10/27 14:55:50,500,+  20.6,+  20.5,+  20.2,+  20.2,+  20.0,+  19.9,-0.003,-0.002,LLLLLLLLLL,LLLL
11,2022/10/27 14:55:51,0,+  20.5,+  20.5,+  20.2,+  20.3,+  20.0,+  19.9,-0.004,-0.002,LLLLLLLLLL,LLLL
12,2022/10/27 14:55:51,500,+  20.5,+  20.5,+  20.1,+  20.3,+  19.9,+  19.9,-0.004,-0.002,LLLLLLLLLL,LLLL
13,2022/10/27 14:55:52,0,+  20.5,+  20.5,+  20.1,+  20.3,+  20.0,+  19.9,-0.004,-0.002,LLLLLLLLLL,LLLL
14,2022/10/27 14:55:52,500,+  20.5,+  20.5,+  20.0,+  20.2,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
15,2022/10/27 14:55:53,0,+  20.4,+  20.5,+  20.0,+  20.2,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
16,2022/10/27 14:55:53,500,+  20.5,+  20.5,+  20.0,+  20.2,+  19.9,+  19.8,-0.004,-0.004,LLLLLLLLLL,LLLL
17,2022/10/27 14:55:54,0,+  20.4,+  20.5,+  20.0,+  20.2,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
18,2022/10/27 14:55:54,500,+  20.4,+  20.4,+  20.0,+  20.2,+  19.8,+  19.8,-0.004,-0.004,LLLLLLLLLL,LLLL
19,2022/10/27 14:55:55,0,+  20.5,+  20.5,+  20.0,+  20.2,+  19.8,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
20,2022/10/27 14:55:55,500,+  20.5,+  20.4,+  20.1,+  20.2,+  19.9,+  19.8,-0.004,-0.004,LLLLLLLLLL,LLLL
21,2022/10/27 14:55:56,0,+  20.5,+  20.5,+  20.0,+  20.2,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
22,2022/10/27 14:55:56,500,+  20.5,+  20.5,+  20.0,+  20.2,+  19.9,+  19.8,-0.004,-0.004,LLLLLLLLLL,LLLL
23,2022/10/27 14:55:57,0,+  20.5,+  20.5,+  20.0,+  20.2,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
24,2022/10/27 14:55:57,500,+  20.5,+  20.5,+  20.1,+  20.3,+  19.9,+  19.8,-0.004,-0.004,LLLLLLLLLL,LLLL
25,2022/10/27 14:55:58,0,+  20.4,+  20.5,+  20.1,+  20.2,+  19.8,+  19.8,-0.004,-0.004,LLLLLLLLLL,LLLL
26,2022/10/27 14:55:58,500,+  20.4,+  20.5,+  20.1,+  20.2,+  19.9,+  19.8,-0.004,-0.004,LLLLLLLLLL,LLLL
27,2022/10/27 14:55:59,0,+  20.4,+  20.5,+  20.1,+  20.2,+  19.8,+  19.8,-0.004,-0.004,LLLLLLLLLL,LLLL
28,2022/10/27 14:55:59,500,+  20.4,+  20.5,+  20.1,+  20.2,+  19.9,+  19.8,-0.004,-0.004,LLLLLLLLLL,LLLL
29,2022/10/27 14:56:00,0,+  20.5,+  20.4,+  20.0,+  20.3,+  19.9,+  19.8,-0.004,-0.004,LLLLLLLLLL,LLLL
30,2022/10/27 14:56:00,500,+  20.5,+  20.5,+  20.1,+  20.2,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
31,2022/10/27 14:56:01,0,+  20.5,+  20.5,+  20.1,+  20.2,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
32,2022/10/27 14:56:01,500,+  20.5,+  20.5,+  20.1,+  20.2,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
33,2022/10/27 14:56:02,0,+  20.4,+  20.5,+  20.1,+  20.2,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
34,2022/10/27 14:56:02,500,+  20.5,+  20.5,+  20.1,+  20.3,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
35,2022/10/27 14:56:03,0,+  20.4,+  20.5,+  20.0,+  20.2,+  19.9,+  19.8,-0.004,-0.003,LLLLLLLLLL,LLLL
