Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
33,2023/03/08 14:40:26,0,+  49.0,+  44.9,+ 143.6,+ 115.2,+  52.8,+  46.0,+ 0.191,+ 0.101,LLLLLLLLLL,LLLL
34,2023/03/08 14:40:26,500,+  48.9,+  45.0,+ 143.6,+ 115.3,+  52.8,+  46.1,+ 0.334,+ 0.094,LLLLLLLLLL,LLLL
35,2023/03/08 14:40:27,0,+  49.0,+  45.0,+ 143.6,+ 115.4,+  52.8,+  46.1,+ 0.298,+ 0.094,LLLLLLLLLL,LLLL
36,2023/03/08 14:40:27,500,+  49.0,+  45.0,+ 143.6,+ 115.5,+  52.9,+  46.1,+ 0.330,+ 0.093,LLLLLLLLLL,LLLL
37,2023/03/08 14:40:28,0,+  49.0,+  45.0,+ 143.6,+ 115.5,+  53.0,+  46.1,+ 0.317,+ 0.100,LLLLLLLLLL,LLLL
38,2023/03/08 14:40:28,500,+  49.0,+  45.0,+ 143.5,+ 115.5,+  53.1,+  46.1,+ 0.294,+ 0.095,LLLLLLLLLL,LLLL
39,2023/03/08 14:40:29,0,+  49.0,+  45.1,+ 143.5,+ 115.7,+  53.1,+  46.2,+ 0.294,+ 0.102,LLLLLLLLLL,LLLL
40,2023/03/08 14:40:29,500,+  49.0,+  45.1,+ 143.4,+ 115.8,+  53.1,+  46.1,+ 0.259,+ 0.109,LLLLLLLLLL,LLLL
41,2023/03/08 14:40:30,0,+  49.1,+  45.1,+ 143.3,+ 115.8,+  53.1,+  46.2,+ 0.349,+ 0.107,LLLLLLLLLL,LLLL
42,2023/03/08 14:40:30,500,+  49.1,+  45.1,+ 143.3,+ 115.8,+  53.2,+  46.3,+ 0.321,+ 0.116,LLLLLLLLLL,LLLL
43,2023/03/08 14:40:31,0,+  49.1,+  45.2,+ 143.2,+ 115.8,+  53.3,+  46.3,+ 0.336,+ 0.104,LLLLLLLLLL,LLLL
44,2023/03/08 14:40:31,500,+  49.2,+  45.2,+ 143.2,+ 115.9,+  53.3,+  46.3,+ 0.257,+ 0.097,LLLLLLLLLL,LLLL
45,2023/03/08 14:40:32,0,+  49.2,+  45.2,+ 143.1,+ 116.0,+  53.3,+  46.2,+ 0.300,+ 0.099,LLLLLLLLLL,LLLL
46,2023/03/08 14:40:32,500,+  49.2,+  45.2,+ 143.1,+ 116.1,+  53.3,+  46.2,+ 0.312,+ 0.101,LLLLLLLLLL,LLLL
47,2023/03/08 14:40:33,0,+  49.3,+  45.3,+ 143.1,+ 116.2,+  53.3,+  46.1,+ 0.283,+ 0.100,LLLLLLLLLL,LLLL
48,2023/03/08 14:40:33,500,+  49.3,+  45.2,+ 143.1,+ 116.3,+  53.4,+  46.2,+ 0.315,+ 0.094,LLLLLLLLLL,LLLL
49,2023/03/08 14:40:34,0,+  49.2,+  45.3,+ 143.0,+ 116.5,+  53.4,+  46.1,+ 0.293,+ 0.098,LLLLLLLLLL,LLLL
50,2023/03/08 14:40:34,500,+  49.3,+  45.3,+ 143.0,+ 116.6,+  53.4,+  46.1,+ 0.259,+ 0.106,LLLLLLLLLL,LLLL
51,2023/03/08 14:40:35,0,+  49.3,+  45.3,+ 143.0,+ 116.7,+  53.4,+  46.2,+ 0.360,+ 0.109,LLLLLLLLLL,LLLL
52,2023/03/08 14:40:35,500,+  49.4,+  45.4,+ 143.0,+ 116.8,+  53.4,+  46.2,+ 0.323,+ 0.096,LLLLLLLLLL,LLLL
53,2023/03/08 14:40:36,0,+  49.5,+  45.4,+ 143.0,+ 116.9,+  53.4,+  46.3,+ 0.383,+ 0.094,LLLLLLLLLL,LLLL
54,2023/03/08 14:40:36,500,+  49.5,+  45.4,+ 142.9,+ 116.9,+  53.4,+  46.3,+ 0.365,+ 0.099,LLLLLLLLLL,LLLL
55,2023/03/08 14:40:37,0,+  49.5,+  45.5,+ 142.8,+ 116.9,+  53.4,+  46.3,+ 0.363,+ 0.106,LLLLLLLLLL,LLLL
56,2023/03/08 14:40:37,500,+  49.6,+  45.5,+ 142.9,+ 117.0,+  53.4,+  46.3,+ 0.294,+ 0.115,LLLLLLLLLL,LLLL
57,2023/03/08 14:40:38,0,+  49.6,+  45.6,+ 143.0,+ 117.1,+  53.4,+  46.3,+ 0.239,+ 0.109,LLLLLLLLLL,LLLL
58,2023/03/08 14:40:38,500,+  49.6,+  45.6,+ 143.1,+ 117.1,+  53.5,+  46.4,+ 0.249,+ 0.106,LLLLLLLLLL,LLLL
