Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
1,2022/08/09 10:41:22,0,+  25.2,+  25.6,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.005,+ 0.005,LLLLLLLLLL,LLLL
2,2022/08/09 10:41:22,500,+  25.2,+  25.5,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.004,+ 0.005,LLLLLLLLLL,LLLL
3,2022/08/09 10:41:23,0,+  25.2,+  25.5,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.006,+ 0.005,LLLLLLLLLL,LLLL
4,2022/08/09 10:41:23,500,+  25.2,+  25.5,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.005,+ 0.005,LLLLLLLLLL,LLLL
5,2022/08/09 10:41:24,0,+  25.2,+  25.6,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.006,+ 0.005,LLLLLLLLLL,LLLL
6,2022/08/09 10:41:24,500,+  25.2,+  25.5,+  30.5,+  25.5,+  25.1,+  25.2,+ 0.006,+ 0.005,LLLLLLLLLL,LLLL
7,2022/08/09 10:41:25,0,+  25.2,+  25.5,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.005,+ 0.005,LLLLLLLLLL,LLLL
8,2022/08/09 10:41:25,500,+  25.2,+  25.5,+  30.5,+  25.5,+  25.1,+  25.2,+ 0.004,+ 0.004,LLLLLLLLLL,LLLL
9,2022/08/09 10:41:26,0,+  25.2,+  25.5,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.004,+ 0.005,LLLLLLLLLL,LLLL
10,2022/08/09 10:41:26,500,+  25.2,+  25.4,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.004,+ 0.004,LLLLLLLLLL,LLLL
11,2022/08/09 10:41:27,0,+  25.2,+  25.4,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.003,+ 0.004,LLLLLLLLLL,LLLL
12,2022/08/09 10:41:27,500,+  25.2,+  25.4,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.004,+ 0.004,LLLLLLLLLL,LLLL
13,2022/08/09 10:41:28,0,+  25.2,+  25.4,+  30.5,+  25.4,+  25.1,+  25.2,+ 0.004,+ 0.003,LLLLLLLLLL,LLLL
