Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Alarm1-10,AlarmOut
1,2022/08/23 10:48:14,0,+ 144.9,+ 164.0,+ 203.9,+ 181.2,+ 108.7,+  92.3,+ 0.741,+ 0.395,LLLLLLLLLL,LLLL
2,2022/08/23 10:48:14,500,+ 145.1,+ 164.1,+ 204.0,+ 181.3,+ 108.8,+  92.4,+ 0.652,+ 0.395,LLLLLLLLLL,LLLL
3,2022/08/23 10:48:15,0,+ 145.1,+ 164.1,+ 204.1,+ 181.3,+ 108.8,+  92.6,+ 0.698,+ 0.403,LLLLLLLLLL,LLLL
4,2022/08/23 10:48:15,500,+ 145.2,+ 164.2,+ 204.1,+ 181.4,+ 108.9,+  92.7,+ 0.681,+ 0.388,LLLLLLLLLL,LLLL
5,2022/08/23 10:48:16,0,+ 145.3,+ 164.2,+ 204.2,+ 181.4,+ 108.9,+  92.7,+ 0.674,+ 0.378,LLLLLLLLLL,LLLL
6,2022/08/23 10:48:16,500,+ 145.4,+ 164.3,+ 204.3,+ 181.5,+ 109.0,+  92.7,+ 0.559,+ 0.373,LLLLLLLLLL,LLLL
7,2022/08/23 10:48:17,0,+ 145.4,+ 164.3,+ 204.3,+ 181.6,+ 109.0,+  92.6,+ 0.614,+ 0.381,LLLLLLLLLL,LLLL
8,2022/08/23 10:48:17,500,+ 145.5,+ 164.3,+ 204.3,+ 181.6,+ 109.1,+  92.5,+ 0.616,+ 0.384,LLLLLLLLLL,LLLL
9,2022/08/23 10:48:18,0,+ 145.6,+ 164.3,+ 204.3,+ 181.7,+ 109.2,+  92.5,+ 0.638,+ 0.383,LLLLLLLLLL,LLLL
10,2022/08/23 10:48:18,500,+ 145.6,+ 164.4,+ 204.4,+ 181.8,+ 109.3,+  92.3,+ 0.591,+ 0.385,LLLLLLLLLL,LLLL
11,2022/08/23 10:48:19,0,+ 145.7,+ 164.5,+ 204.5,+ 181.9,+ 109.4,+  92.3,+ 0.598,+ 0.400,LLLLLLLLLL,LLLL
12,2022/08/23 10:48:19,500,+ 145.7,+ 164.6,+ 204.6,+ 181.9,+ 109.6,+  92.3,+ 0.751,+ 0.404,LLLLLLLLLL,LLLL
13,2022/08/23 10:48:20,0,+ 145.7,+ 164.7,+ 204.6,+ 182.0,+ 109.6,+  92.1,+ 0.665,+ 0.399,LLLLLLLLLL,LLLL
14,2022/08/23 10:48:20,500,+ 145.8,+ 164.7,+ 204.8,+ 182.1,+ 109.7,+  92.1,+ 0.689,+ 0.392,LLLLLLLLLL,LLLL
15,2022/08/23 10:48:21,0,+ 145.8,+ 164.7,+ 204.9,+ 182.2,+ 109.8,+  92.2,+ 0.763,+ 0.388,LLLLLLLLLL,LLLL
16,2022/08/23 10:48:21,500,+ 145.8,+ 164.8,+ 205.1,+ 182.2,+ 109.9,+  92.3,+ 0.573,+ 0.385,LLLLLLLLLL,LLLL
17,2022/08/23 10:48:22,0,+ 145.9,+ 164.8,+ 205.3,+ 182.2,+ 109.9,+  92.3,+ 0.650,+ 0.390,LLLLLLLLLL,LLLL
18,2022/08/23 10:48:22,500,+ 146.0,+ 164.8,+ 205.3,+ 182.3,+ 109.9,+  92.3,+ 0.679,+ 0.380,LLLLLLLLLL,LLLL
19,2022/08/23 10:48:23,0,+ 146.0,+ 164.8,+ 205.4,+ 182.3,+ 109.9,+  92.2,+ 0.722,+ 0.372,LLLLLLLLLL,LLLL
20,2022/08/23 10:48:23,500,+ 146.0,+ 164.9,+ 205.6,+ 182.4,+ 110.0,+  92.1,+ 0.705,+ 0.384,LLLLLLLLLL,LLLL
21,2022/08/23 10:48:24,0,+ 146.1,+ 165.0,+ 205.7,+ 182.4,+ 110.1,+  92.1,+ 0.684,+ 0.393,LLLLLLLLLL,LLLL
22,2022/08/23 10:48:24,500,+ 146.1,+ 165.0,+ 205.7,+ 182.5,+ 110.1,+  92.2,+ 0.682,+ 0.401,LLLLLLLLLL,LLLL
23,2022/08/23 10:48:25,0,+ 146.1,+ 165.1,+ 205.9,+ 182.6,+ 110.2,+  92.3,+ 0.701,+ 0.393,LLLLLLLLLL,LLLL
24,2022/08/23 10:48:25,500,+ 146.2,+ 165.1,+ 206.1,+ 182.6,+ 110.2,+  92.3,+ 0.639,+ 0.390,LLLLLLLLLL,LLLL
25,2022/08/23 10:48:26,0,+ 146.2,+ 165.1,+ 206.1,+ 182.7,+ 110.2,+  92.1,+ 0.571,+ 0.384,LLLLLLLLLL,LLLL
26,2022/08/23 10:48:26,500,+ 146.2,+ 165.2,+ 206.2,+ 182.7,+ 110.2,+  92.1,+ 0.700,+ 0.388,LLLLLLLLLL,LLLL
27,2022/08/23 10:48:27,0,+ 146.2,+ 165.3,+ 206.2,+ 182.8,+ 110.3,+  92.0,+ 0.553,+ 0.394,LLLLLLLLLL,LLLL
28,2022/08/23 10:48:27,500,+ 146.3,+ 165.3,+ 206.3,+ 182.9,+ 110.3,+  92.0,+ 0.641,+ 0.390,LLLLLLLLLL,LLLL
29,2022/08/23 10:48:28,0,+ 146.3,+ 165.5,+ 206.4,+ 183.0,+ 110.3,+  92.1,+ 0.665,+ 0.381,LLLLLLLLLL,LLLL
30,2022/08/23 10:48:28,500,+ 146.4,+ 165.6,+ 206.4,+ 183.0,+ 110.4,+  92.2,+ 0.637,+ 0.375,LLLLLLLLLL,LLLL
31,2022/08/23 10:48:29,0,+ 146.4,+ 165.8,+ 206.4,+ 183.1,+ 110.4,+  92.3,+ 0.657,+ 0.388,LLLLLLLLLL,LLLL
32,2022/08/23 10:48:29,500,+ 146.5,+ 165.8,+ 206.4,+ 183.2,+ 110.5,+  92.5,+ 0.633,+ 0.378,LLLLLLLLLL,LLLL
33,2022/08/23 10:48:30,0,+ 146.5,+ 165.9,+ 206.5,+ 183.2,+ 110.6,+  92.5,+ 0.669,+ 0.374,LLLLLLLLLL,LLLL
34,2022/08/23 10:48:30,500,+ 146.5,+ 165.9,+ 206.6,+ 183.3,+ 110.7,+  92.5,+ 0.693,+ 0.373,LLLLLLLLLL,LLLL
35,2022/08/23 10:48:31,0,+ 146.5,+ 166.0,+ 206.6,+ 183.4,+ 110.7,+  92.6,+ 0.637,+ 0.374,LLLLLLLLLL,LLLL
36,2022/08/23 10:48:31,500,+ 146.5,+ 166.1,+ 206.6,+ 183.4,+ 110.8,+  92.7,+ 0.789,+ 0.382,LLLLLLLLLL,LLLL
37,2022/08/23 10:48:32,0,+ 146.5,+ 166.2,+ 206.7,+ 183.5,+ 110.9,+  92.7,+ 0.784,+ 0.390,LLLLLLLLLL,LLLL
38,2022/08/23 10:48:32,500,+ 146.5,+ 166.3,+ 206.8,+ 183.6,+ 111.0,+  92.6,+ 0.702,+ 0.390,LLLLLLLLLL,LLLL
39,2022/08/23 10:48:33,0,+ 146.5,+ 166.3,+ 206.8,+ 183.6,+ 111.2,+  92.6,+ 0.590,+ 0.393,LLLLLLLLLL,LLLL
40,2022/08/23 10:48:33,500,+ 146.6,+ 166.3,+ 206.9,+ 183.7,+ 111.2,+  92.5,+ 0.598,+ 0.393,LLLLLLLLLL,LLLL
41,2022/08/23 10:48:34,0,+ 146.6,+ 166.5,+ 206.9,+ 183.7,+ 111.3,+  92.5,+ 0.778,+ 0.385,LLLLLLLLLL,LLLL
42,2022/08/23 10:48:34,500,+ 146.6,+ 166.5,+ 207.0,+ 183.8,+ 111.3,+  92.5,+ 0.604,+ 0.390,LLLLLLLLLL,LLLL
43,2022/08/23 10:48:35,0,+ 146.6,+ 166.5,+ 207.1,+ 183.9,+ 111.4,+  92.5,+ 0.630,+ 0.399,LLLLLLLLLL,LLLL
44,2022/08/23 10:48:35,500,+ 146.6,+ 166.6,+ 207.2,+ 183.9,+ 111.5,+  92.6,+ 0.608,+ 0.396,LLLLLLLLLL,LLLL
45,2022/08/23 10:48:36,0,+ 146.6,+ 166.6,+ 207.2,+ 183.9,+ 111.6,+  92.6,+ 0.632,+ 0.392,LLLLLLLLLL,LLLL
46,2022/08/23 10:48:36,500,+ 146.7,+ 166.7,+ 207.2,+ 184.0,+ 111.6,+  92.8,+ 0.582,+ 0.395,LLLLLLLLLL,LLLL
47,2022/08/23 10:48:37,0,+ 146.7,+ 166.8,+ 207.2,+ 184.0,+ 111.6,+  92.8,+ 0.801,+ 0.380,LLLLLLLLLL,LLLL
