"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","stem_sav","lfm","leaf_dmc","stem_dmc","dmc","leaf_area","leaf_sav","LMA","SLA"
"1","ARTCAL",1,2022-08-03,17.98,17.541,0.506179443146308,0.493820556853692,198.264642082429,0.238,0.549999999999999,0.1844,153.10344827586,1.372,0.367000000000001,0.145000000000001,15.4978091056746,178.384942319367,0.335272727272728,0.395095367847414,0.815036363636368,0.520657013,8.40336134453781,0.00326127149857529,317.501382026489
"2","ARTCAL",10,2022-08-30,17.539,17.294,0.503516780064881,0.496483219935119,153.393665158371,0.114,0.336,0.1326,109.645669291337,0.916,0.213000000000001,0.101600000000001,23.0612691632297,134.415029888983,0.394642857142857,0.476995305164323,0.647980952380957,0.2662089832,17.5438596491228,0.00326127149857529,317.501382026489
"3","ARTCAL",2,2022-08-03,18.921,18.395,0.507047915103441,0.492952084896559,121.435316336167,0.206,1.407,0.635399999999999,119.151036525173,1.316,0.444000000000001,0.2026,15.7240099267378,120.883054892602,0.451599147121534,0.456306306306306,1.22339431414357,0.1771399094,9.70873786407767,0.00326127149857529,317.501382026489
"4","ARTCAL",3,2022-08-03,18.635,18.1,0.50728188376208,0.49271811623792,105.07996237065,0.213333333333333,1.09,0.531499999999999,95.8191126279855,1.4475,0.459,0.234400000000001,14.2818950289613,102.245723984855,0.487614678899081,0.510675381263619,1.20554587155963,0.1274513304,9.375,0.00326127149857529,317.501382026489
"5","ARTCAL",4,2022-08-03,18.393,17.702,0.509571962875745,0.490428037124255,166.763952889202,0.204285714285714,0.841428571428573,0.333714285714286,126.995493130305,1.21,0.392333333333333,0.174483333333333,16.845209994675,142.772074980206,0.396604414261459,0.444732370433305,0.933413210445468,0.1645264628,9.79020979020979,0.00326127149857529,317.501382026489
"6","ARTCAL",5,2022-08-03,18.44,17.396,0.514566357852439,0.485433642147561,158.177570093458,0.184,0.441999999999999,0.1712,118.26006762988,1.804,0.710000000000001,0.3253,11.6874327373356,132.02416918429,0.387330316742082,0.458169014084507,1.61717285067874,0.2291490208,10.8695652173913,0.00326127149857529,317.501382026489
"7","ARTCAL",6,2022-08-03,18.575,17.712,0.511891310937801,0.488108689062199,195.910780669145,0.094,0.795999999999999,0.269,127.771010962241,1.429,0.561,0.2463,15.9720118606894,163.34174267417,0.337939698492463,0.43903743315508,1.13942211055276,0.5378439012,21.2765957446809,0.00326127149857529,317.501382026489
"8","ARTCAL",7,2022-08-25,18.281,17.715,0.507861984664963,0.492138015335037,133.451727478204,0.15,0.723000000000001,0.309700000000001,148.895434462443,1.48,0.507,0.203700000000001,14.4042461072857,139.579275418776,0.428354080221301,0.401775147928997,1.09844273858921,0.1837989832,13.3333333333333,0.00326127149857529,317.501382026489
"9","ARTCAL",8,2022-08-25,18.135,17.615,0.507272727272727,0.492727272727273,133.728874505573,0.236,0.65,0.2781,120.57368941642,1.347,0.446,0.202199999999999,15.0588742176976,128.190714136998,0.427846153846154,0.453363228699551,1.03517692307692,0.213093926,8.47457627118644,0.00326127149857529,317.501382026489
"10","ARTCAL",9,2022-08-25,17.644,17.25,0.505645669742649,0.494354330257351,145.497630331751,0.128,0.259,0.105500000000001,164.981949458482,1.301,0.366999999999999,0.138500000000001,16.403086600999,156.557377049178,0.407335907335911,0.377384196185288,1.00724903474904,0.2650282966,15.625,0.00326127149857529,317.501382026489
"11","CEAGRI",1,2022-07-20,20.522,19.283,0.515563371435749,0.484436628564251,98.7767584097857,0.37,0.454999999999998,0.228899999999999,101.653252120948,2.106,0.927,0.4597,9.73726835990638,100.697066511763,0.503076923076924,0.495900755124056,2.16622967032967,4.636936357,5.40540540540541,0.0493644903394993,20.2574764394933
"12","CEAGRI",2,2022-07-20,23.899,21.342,0.528259764373024,0.471740235626975,140.58187243566,0.324,0.645000000000001,0.268099999999999,104.450625869263,2.488,1.323,0.6471,8.41368821033448,115.034965034966,0.415658914728679,0.489115646258503,2.59435581395349,5.6286401038,6.17283950617284,0.0476313985360335,20.9945546579635
"13","CEAGRI",3,2022-07-20,23.117,21.103,0.52277250113071,0.47722749886929,164.957264957265,0.364,0.930000000000001,0.351000000000001,217.190775681342,2.455,1.513,0.477,8.36225468253325,195.048309178744,0.37741935483871,0.31526768010575,2.37690322580645,7.4021426242,5.49450549450549,0.0474187026405663,21.0887254250712
"14","CEAGRI",4,2022-07-20,20.026,19.452,0.507269871827347,0.492730128172653,135.757575757575,0.24,0.389000000000001,0.165000000000001,147.406041042195,2.2,1.073,0.4337,9.17159630745294,144.195757474528,0.424164524421595,0.404193849021435,2.35291002570694,3.176808932,8.33333333333333,0.051938912138516,19.2533874666666
"15","CEAGRI",5,2022-10-04,22.033,19.49,0.530621583218939,0.469378416781061,78.5273549979436,0.134,0.434000000000001,0.2431,77.2741070525144,2.781,1.752,0.988300000000001,8.28651865230793,77.5215202208868,0.560138248847925,0.564098173515982,4.27228894009216,4.7281413392,14.9253731343284,0.051415552657978,19.4493679111477
"16","CEAGRI",6,2022-10-04,18.112,17.823,0.504021149297342,0.495978850702658,120.359281437123,0.212,0.183999999999999,0.0835000000000008,99.0550534100247,2.313,0.969000000000001,0.486800000000001,9.03421546170709,102.174294231106,0.453804347826093,0.502373581011352,3.69815217391306,2.0541222474,9.43396226415094,0.040649966235306,24.6002664359279
