"","species","ignition","prop_ig","fh","fd","temp_change","heat_flux_change","r_fh","r_fd","r_temp_change","r_heat_flux_change"
"1","ARCDEN","M",0,0.0567526168938666,0.728066735440387,-0.0880188561683488,-0.144711566207405,-0.517453701449776,0.535661245530402,0.102254702724822,-1.12845297951441
"2","ARCDEN","M",0,-0.952535921946657,-0.292943304623631,-0.121391859283175,0.344889129330486,-1.33651756419047,-0.306843580751185,0.15720259703665,-0.373618524079553
"3","ARCDEN","M",0,0.444940516447914,-0.22913017711963,-0.962391537776839,0.301123652725978,-0.187796471464907,-0.47646034819344,-0.799293639630331,-0.764228148241628
"4","ARCDEN","M",0,0.289665356626295,-0.548195814639635,0.292433379340692,0.73654543406028,-0.287467495195807,-0.743347538607812,0.48134815519653,-0.251276498629753
"5","ARCDEN","M",0,-0.56434802239261,-0.739635197151639,0.299107979963657,0.591005292799307,-1.13855434073625,-0.932040687061624,0.489381538856828,-0.392736120507696
"6","ARCDEN","M",0,0.522578096358724,0.153748587904377,0.55274280363635,0.68125985786206,-0.13416130579986,0.138932900424092,0.152414644603193,-0.275152202527019
"7","ARCDEN","M",0,0.134390196804676,-0.356756432127632,0.192314369996208,0.598384208644035,-0.52890910150156,-0.304747090858596,0.136716495035794,-0.411257697869333
"8","ARCDEN","M",0,0.0567526168938666,-0.675822069647637,-0.214836268004693,0.738279813482833,-0.529214039189386,-0.572549692625699,-0.104935422852016,-0.31826855767449
"9","ARTCAL","M",0.142857142857143,0.212027776715486,-0.931074579663642,-0.388375884201799,-1.18474010383365,-0.419174264865791,-0.782947046357913,-0.425384283025801,-1.7871580330132
"10","ARTCAL","1",0.142857142857143,-0.0985225429277525,-0.931074579663642,-0.441772689185524,-0.385787715738661,-0.442045104957323,-0.748161414954157,-0.35358281404958,-1.21660083181691
"11","ARTCAL","1",0.142857142857143,0.289665356626295,-0.484382687135634,-0.561915500398905,-0.500076125731946,-0.0402000491704668,-0.288653763487923,-0.467384637755407,-1.31184681802272
"12","ARTCAL","M",0.142857142857143,-0.952535921946657,-0.356756432127632,-0.181463264889865,-1.42832709819154,-1.24240537020448,-0.123495643017974,-0.0683623674028137,-2.18433069224757
"13","ARTCAL","M",0.142857142857143,-1.34072382150071,-0.22913017711963,-0.0813442555453812,-0.94959690613856,-1.62474020280161,0.00962308010641053,0.0344742080163364,-1.69743946142853
"14","ARTCAL","M",0.142857142857143,-0.176160122838562,-0.994887707167643,-0.428423487939592,-0.218497356247616,-0.495294905880975,-0.789089258639898,-0.328910420825871,-1.01530614413395
"15","ARTCAL","1",0.142857142857143,0.677853256180343,-0.867261452159641,-0.0145982493157258,-0.485244543427167,0.0804015133348465,-0.861022678527126,-0.33724049875281,-1.10326295059031
"16","ARTCAL","M",0.142857142857143,-0.4867104424818,-0.356756432127632,-1.11590735210505,-0.614450526138112,-0.798893317045749,-0.1152569408434,-0.814541485098944,-1.09108615830314
"17","ARTCAL","1",0.142857142857143,0.522578096358724,-0.867261452159641,-0.581939302267803,-0.318945051337247,-0.00228051924183438,-0.685263698802886,-0.534683348339411,-1.0011073712968
"18","ARTCAL","1",0.142857142857143,-0.409072862570991,-0.612008942143636,-0.214836268004693,-0.127012587358509,-0.608202807219215,-0.405295082263161,-0.1390902632392,-0.871143877891409
"19","ARTCAL","1",0.142857142857143,-1.10781108176828,-0.548195814639635,-0.401725085447731,-0.568203856493061,-1.33718187236058,-0.369859706693802,-0.34001983873468,-1.35450051398394
"20","ARTCAL","1",0.142857142857143,0.0567526168938666,-0.101503922111627,-0.448447289808489,0.164898349345839,-0.420762681798159,0.0173304479067285,-0.291454699455101,-1.14284187827559
"21","ARTCAL","1",0.142857142857143,-0.56434802239261,-0.867261452159641,-0.254883871742487,0.238724209506538,-1.06820212239077,-0.773143188665006,-0.110120328725097,-1.10574069256217
"22","CEAGRI","M",0.166666666666667,0.289665356626295,0.983319245456391,1.17348066157215,0.708646242203866,-0.545541558700461,0.809221982601014,0.287455180741782,-0.993983489225701
"23","CEAGRI","M",0.166666666666667,0.367302936537105,0.600440480432385,0.27908417809476,0.597671671760254,-0.422054954293795,0.469367551155337,-0.585653701817389,-1.04102992266851
"24","CEAGRI","M",0.166666666666667,0.134390196804676,0.791879862944388,1.35369487839222,-0.0249698343314406,-0.61106969184934,0.702000444540209,0.509338744040069,-1.60246363801475
"25","CEAGRI","M",0.166666666666667,1.29895389546682,0.0261223328963748,2.32151196872223,0.963876856530237,0.473502091734927,-0.138820816431698,1.44001576468298,-0.725151143622563
"26","CEAGRI","M",0.166666666666667,1.06604115573439,0.791879862944388,0.392552388685176,0.801428688250019,0.371743233981536,0.555534628103343,0.654362751796863,-0.906667109429037
"27","CEAGRI","M",0.166666666666667,0.910765995912772,0.983319245456391,0.252385775602898,1.36658816644606,0.00283113023241671,0.546498924367385,0.415004976989266,-0.639385546194197
"28","CEAGRI","M",0.166666666666667,1.29895389546682,-0.101503922111627,-0.0212728499386914,0.189793928431103,0.472961967183314,-0.461429689571279,0.179392276493005,-1.70192524148431
"29","CEAGRI","M",0.166666666666667,0.677853256180343,0.153748587904377,0.939869639768354,1.7702276621075,-0.301293924142512,-0.349896761933949,1.06942512057962,-0.335038688853159
"30","CEAGRI","1",0.166666666666667,0.910765995912772,-0.165317049615629,0.559417404259315,1.58316490683173,0.0603862886421085,-0.54812810089354,0.748759338713235,-0.3425585912756
"31","CEAGRI","M",0.166666666666667,-0.331435282660181,0.728066735440387,-0.515193296038145,0.703885304300252,-1.01012502586125,0.506368082243028,-0.246136090060681,-0.982447723335976
