"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","stem_sav","lfm","leaf_dmc","stem_dmc","dmc","leaf_area","leaf_sav","LMA","SLA","rep","branch_length","branch_width","branch_height","sample_wt","no_branches","mpa","notes_on_plant_char","start_time","ambient_temp","ambient_humidity","pre_ignition_glow","first_glow_time","ignition","primary_ignition","primary_time_of_flame_end","secondary_ignition","secondary_time_of_flame_end","third_ignition","third_time_of_ignition_flame_end","time_fh","fh","time_of_glow_end","end_time","thermocoupler_height","hotplate_height","notes_on_flam_data","fd","tti","pfg","max_temp","time_at_max_temp","max_temp_sensor","start_temp","start_temp_sensor","stable_avg_temp","temp_change","avg_temp_ch3","max_heat_flux_loessCH7","time_at_max_heat_flux_loessCH7","max_heat_flux_loessCH8","time_at_max_heat_flux_loessCH8","avg_heat_flux_stableCH7","avg_heat_flux_stableCH8","heat_flux_change","prop_ig","wet_mass","dry_mass","gdw_gfw","dw_flam_sample","ww_flam_sample","branch_volume","branching","sample_density","dw_sppdev"
"58","ERIKAR",10,2022-09-02,17.408,17.298,0.501584740390711,0.498415259609289,286.81318681319,0.12,0.352,0.0909999999999993,149.999999999997,0.555,0.0890000000000004,0.0356000000000005,40.4571623331345,248.341232227489,0.258522727272725,0.400000000000004,0.281136363636365,0.44049083,16.6666666666667,0.00771611068969019,-606.371959656846,1,25,22.5,12.5,1.0064,4,0.1,NA,"14:08:07",32,37,0,NA,"M","14:13:15","14:13:17",NA,NA,NA,NA,"14:13:16",19,"14:20:10","14:20:10",19,15,NA,2,308,413,190,"14:13:16","CH2",188,"CH2",190.629787234043,2,228.601385041551,5655.54148747242,"14:11:16",3889.594717516,"14:16:36",0.757044326241135,0.464145390070922,3889.13057212593,0.0408163265306122,0.441000000000001,0.1266,0.223044397463002,0.224471881606765,0.781928118393237,7031.25,0.2,0.000143132444444445,1.34378788435315
"59","ERIKAR",10,2022-09-02,17.408,17.298,0.501584740390711,0.498415259609289,286.81318681319,0.12,0.352,0.0909999999999993,149.999999999997,0.555,0.0890000000000004,0.0356000000000005,40.4571623331345,248.341232227489,0.258522727272725,0.400000000000004,0.281136363636365,0.44049083,16.6666666666667,0.00771611068969019,-606.371959656846,5,25,9.5,6,0.956400000000002,2,0.14,NA,"14:54:25",31.5,37,0,NA,"M","15:00:37","15:00:46","15:00:35","15:00:36",NA,NA,"15:00:39",17,"15:02:28","15:02:28",19,15,NA,9,372,102,196.4,"15:00:46","CH2",184.9,"CH2",193.605057803468,11.5,230.013278008299,5724.55462723916,"15:01:29",4024.36036243196,"15:01:52",0.764508670520231,0.461797687861272,4023.8985647441,0.0408163265306122,0.441000000000001,0.1266,0.223044397463002,0.213319661733615,0.743080338266387,1425,0.12,0.000671157894736844,1.16057371278191
"60","ERIKAR",2,2022-08-02,17.237,17.124,0.501644306044644,0.498355693955356,521.212121212056,0.15,0.0409999999999995,0.00660000000000061,357.264957264944,0.67,0.106999999999999,0.0234000000000005,30.6459913016121,393.333333333311,0.160975609756114,0.218691588785053,0.684331707317093,0.4758123674,13.3333333333333,0.0138710139798703,72.0927829393873,5,25,10,3.3,0.596400000000003,2,0.23,NA,"16:12:01",30.6,35,0,NA,"M","16:23:06","16:23:09",NA,NA,NA,NA,"16:23:07",7,"16:26:40","16:26:40",19,16,NA,3,665,211,186.4,"16:23:09","CH2",186.8,"CH2",185.935758998435,-0.400000000000006,221.213667425968,4895.00322398431,"16:24:40",3675.91273915774,"16:13:02",0.66573082942097,0.435119718309859,3675.47761943943,0.0408163265306122,0.147999999999999,0.0300000000000011,0.168539325842703,0.100516853932589,0.495883146067414,825,0.12,0.000722909090909094,-0.692606480690811
"61","ERIKAR",2,2022-08-02,17.237,17.124,0.501644306044644,0.498355693955356,521.212121212056,0.15,0.0409999999999995,0.00660000000000061,357.264957264944,0.67,0.106999999999999,0.0234000000000005,30.6459913016121,393.333333333311,0.160975609756114,0.218691588785053,0.684331707317093,0.4758123674,13.3333333333333,0.0138710139798703,72.0927829393873,3,23.6,4,1.2,0.296400000000002,0,0.29,NA,"15:22:29",33.9,34,0,NA,"M","15:38:28","15:38:29","15:38:23","15:38:23",NA,NA,"15:38:28",7,"15:42:37","15:42:37",19,16,NA,1,959,248,184.9,"15:38:28","CH2",185.4,"CH2",184.615326902465,-0.5,217.793537696769,4942.46158433977,"15:41:36",3647.83257097028,"15:35:42",0.663732583065381,0.430602893890675,3647.40196807639,0.0408163265306122,0.147999999999999,0.0300000000000011,0.168539325842703,0.0499550561797775,0.246444943820224,113.28,0.0423728813559322,0.00261652542372883,-1.52326064585274
"62","ERIKAR",2,2022-08-02,17.237,17.124,0.501644306044644,0.498355693955356,521.212121212056,0.15,0.0409999999999995,0.00660000000000061,357.264957264944,0.67,0.106999999999999,0.0234000000000005,30.6459913016121,393.333333333311,0.160975609756114,0.218691588785053,0.684331707317093,0.4758123674,13.3333333333333,0.0138710139798703,72.0927829393873,4,25,3.2,2.8,0.5564,0,0.22,NA,"15:49:10",30.5,34,0,NA,"M","16:02:29","16:02:33",NA,NA,NA,NA,"16:02:29",13,"16:10:17","16:10:17",19,16,NA,4,799,464,179.9,"16:02:29","CH2",188.2,"CH2",184.978395860285,-8.29999999999998,217.8663507109,4880.86151491491,"16:06:50",3667.75237799636,"16:00:13",0.661439197930142,0.430069210866753,3667.32230878549,0.0408163265306122,0.147999999999999,0.0300000000000011,0.168539325842703,0.09377528089888,0.46262471910112,224,0.04,0.00248392857142857,-0.803360369379075
"63","ERIKAR",3,2022-08-02,17.269,17.158,0.501612106776658,0.498387893223342,-622.547612211735,0.25,0.048833333333334,0.00316666666666713,275.545851528387,0.608,0.0860000000000003,0.0228999999999999,32.9960087029959,417.26342710997,0.0648464163822613,0.26627906976744,0.558108646188844,0.3238246098,8,0.00977895617205537,102.260403094722,1,25,3.1,1.8,0.3764,0,0.23,NA,"16:28:55",30.6,36,0,NA,"M","16:39:24","16:39:26",NA,NA,NA,NA,"16:39:25",6,"16:41:55","16:41:55",19,16,NA,2,629,149,186.2,"16:39:25","CH2",183.9,"CH2",188.48872305141,2.29999999999998,221.193453145058,5229.54690514488,"16:41:55",3757.2563638417,"16:32:10",0.668448590381426,0.43378192371476,3756.82258191799,0.0408163265306122,0.134833333333334,0.0260666666666671,0.162005386368346,0.0609788274290454,0.315421172570955,139.5,0.04,0.00269820788530466,-1.34215669166259
"64","ERIKAR",3,2022-08-02,17.269,17.158,0.501612106776658,0.498387893223342,-622.547612211735,0.25,0.048833333333334,0.00316666666666713,275.545851528387,0.608,0.0860000000000003,0.0228999999999999,32.9960087029959,417.26342710997,0.0648464163822613,0.26627906976744,0.558108646188844,0.3238246098,8,0.00977895617205537,102.260403094722,2,25,2.4,2.1,0.606400000000001,0,0.23,NA,"16:43:20",30.7,38,0,NA,"M","16:53:41","16:54:44",NA,NA,NA,NA,"16:53:41",8,"16:56:40","16:56:40",19,16,NA,63,621,116,184.4,"16:54:23","CH2",189.4,"CH2",185.944285714286,-5,221.36958698373,5272.46851967972,"16:56:08",3659.2562104774,"16:47:04",0.677011764705882,0.432139495798319,3658.8240709816,0.0408163265306122,0.134833333333334,0.0260666666666671,0.162005386368346,0.098240066293765,0.508159933706236,126,0.04,0.00481269841269842,-0.730010671590507
"65","ERIKAR",4,2022-08-23,17.848,17.53,0.504494318503024,0.495505681496976,346.577629382299,0.22,0.535,0.119800000000001,335.158501440933,0.688,0.151,0.0346999999999991,31.9465655220544,344.012944983817,0.223925233644862,0.229801324503305,0.335659813084112,0.5199202794,9.09090909090909,0.00771611068969019,-606.371959656846,4,25,5,2.1,0.696400000000001,1,0.16,NA,"11:20:13",27.4,47,0,NA,"M","11:30:30","11:30:36",NA,NA,NA,NA,"11:30:32",10,"11:30:51","11:30:51",19,15,"sample loaded before video start; tough to tell for how long",6,617,15,175.7,"11:30:35","CH2",173.9,"CH2",175.454060913706,1.79999999999998,215.410361067504,5217.58878372786,"11:20:13",3635.70011359269,"11:24:42",0.660884940778342,0.420821489001692,3635.27929210369,0.0408163265306122,0.686,0.154500000000001,0.183819155264724,0.128011659726354,0.568388340273647,262.5,0.08,0.00265295238095238,-0.240908242733289
"66","ERIKAR",4,2022-08-23,17.848,17.53,0.504494318503024,0.495505681496976,346.577629382299,0.22,0.535,0.119800000000001,335.158501440933,0.688,0.151,0.0346999999999991,31.9465655220544,344.012944983817,0.223925233644862,0.229801324503305,0.335659813084112,0.5199202794,9.09090909090909,0.00771611068969019,-606.371959656846,6,25,3,2,0.606400000000001,0,0.15,NA,"11:53:31",29.6,41,0,NA,"M","12:03:57","12:04:00",NA,NA,NA,NA,"12:03:58",2,"12:04:46","12:04:46",19,15,NA,3,626,46,178.1,"12:03:57","CH2",176,"CH2",179.52975,2.09999999999999,222.380267062315,5148.67536537045,"11:57:27",3685.80045058475,"12:00:18",0.6961475,0.441233333333333,3685.35921725141,0.0408163265306122,0.686,0.154500000000001,0.183819155264724,0.111467935752529,0.494932064247472,150,0.04,0.00404266666666667,-0.512696704317075
"67","ERIKAR",4,2022-08-23,17.848,17.53,0.504494318503024,0.495505681496976,346.577629382299,0.22,0.535,0.119800000000001,335.158501440933,0.688,0.151,0.0346999999999991,31.9465655220544,344.012944983817,0.223925233644862,0.229801324503305,0.335659813084112,0.5199202794,9.09090909090909,0.00771611068969019,-606.371959656846,5,25,6.5,5.4,1.6864,2,0.15,"Y- shaped","11:40:14",28.3,45,0,NA,"M","11:50:50","11:51:02",NA,NA,NA,NA,"11:50:50",8,"11:52:16","11:52:16",19,15,NA,12,636,74,179.5,"11:50:59","CH2",167.1,"CH2",175.534016393443,12.4,222.888904299584,5185.87533329622,"11:49:07",3755.56198130504,"11:47:41",0.692394262295082,0.438881147540984,3755.1231001575,0.0408163265306122,0.686,0.154500000000001,0.183819155264724,0.309992623438431,1.37640737656157,877.5,0.12,0.00192182336182336,2.74876483468837
