"","species","ignition","prop_ig","fh","fd","temp_change","heat_flux_change","r_fh","r_fd","r_temp_change","r_heat_flux_change","plant"
"1","ARCDEN","M",0,0.0567526168938666,0.728066735440387,-0.0880188561683488,-0.144711566207405,0.325566854427633,0.761336356884544,0.144707298466205,-0.599634690646549,1
"2","ARCDEN","M",0,-0.952535921946657,-0.292943304623631,-0.121391859283175,0.344889129330486,-0.469099767226546,-0.10764161688159,0.201374040556496,0.154096414010211,1
"3","ARCDEN","M",0,0.444940516447914,-0.22913017711963,-0.962391537776839,0.301123652725978,0.647717241001267,-0.242639652997898,-0.757369920128476,-0.235070366826664,1
"4","ARCDEN","M",0,0.289665356626295,-0.548195814639635,0.292433379340692,0.73654543406028,0.555177718511041,-0.517265148061599,0.523774307125935,0.277558764865461,1
"5","ARCDEN","M",0,-0.56434802239261,-0.739635197151639,0.299107979963657,0.591005292799307,-0.295533784858843,-0.706365575707481,0.53183413459821,0.136082168360162,1
"6","ARCDEN","M",0,0.522578096358724,0.153748587904377,0.55274280363635,0.68125985786206,0.210774540499141,0.338270624024378,0.0781856317066878,0.113753847883393,2
"7","ARCDEN","M",0,0.134390196804676,-0.356756432127632,0.192314369996208,0.598384208644035,0.216156848675329,-0.11531982759868,0.0461323204242525,0.141188623571787,3
"8","ARCDEN","M",0,0.0567526168938666,-0.675822069647637,-0.214836268004693,0.738279813482833,0.254062062675188,-0.390724974284421,0.0724364694191813,0.299472758315312,5
"9","ARTCAL","M",0.142857142857143,0.212027776715486,-0.931074579663642,-0.388375884201799,-1.18474010383365,0.162158166446747,-0.607774554820445,-0.16351776413148,-1.0926913632809,1
"10","ARTCAL","1",0.142857142857143,-0.0985225429277525,-0.931074579663642,-0.441772689185524,-0.385787715738661,0.422796923913422,-0.578147793182908,-0.10947747459,-0.404173595295756,10
"11","ARTCAL","1",0.142857142857143,0.289665356626295,-0.484382687135634,-0.561915500398905,-0.500076125731946,0.826393576496233,-0.120540777946335,-0.223155893839937,-0.499498796429226,10
"12","ARTCAL","M",0.142857142857143,-0.952535921946657,-0.356756432127632,-0.181463264889865,-1.42832709819154,-0.37068206820677,0.0390511935653251,0.176227775276333,-1.37221465722793,10
"13","ARTCAL","M",0.142857142857143,-1.34072382150071,-0.22913017711963,-0.0813442555453812,-0.94959690613856,-0.752266216462777,0.17135535830557,0.279117238319436,-0.885357375663599,10
"14","ARTCAL","M",0.142857142857143,-0.176160122838562,-0.994887707167643,-0.428423487939592,-0.218497356247616,0.372674974411118,-0.622469630135899,-0.0845847162664884,-0.203020362840754,10
"15","ARTCAL","1",0.142857142857143,0.677853256180343,-0.867261452159641,-0.0145982493157258,-0.485244543427167,0.755956764646982,-0.66480742873271,-0.252265643432355,-0.84168860107054,2
"16","ARTCAL","M",0.142857142857143,-0.4867104424818,-0.356756432127632,-1.11590735210505,-0.614450526138112,0.0338637376218773,0.0460680581636889,-0.510761170341918,-0.696826741314963,3
"17","ARTCAL","1",0.142857142857143,0.522578096358724,-0.867261452159641,-0.581939302267803,-0.318945051337247,0.534271770303344,-0.515114317300948,-0.296463135944487,-0.600658759595898,4
"18","ARTCAL","1",0.142857142857143,-0.409072862570991,-0.612008942143636,-0.214836268004693,-0.127012587358509,0.318521987544105,-0.238811213489852,-0.17939551297274,-0.435287351253167,5
"19","ARTCAL","1",0.142857142857143,-1.10781108176828,-0.548195814639635,-0.401725085447731,-0.568203856493061,-0.414335613359728,-0.199167286269104,-0.380598341191976,-0.918468582863026,5
"20","ARTCAL","1",0.142857142857143,0.0567526168938666,-0.101503922111627,-0.448447289808489,0.164898349345839,0.446848942755195,0.196847250826276,-0.183516810961556,-0.495305187060919,7
"21","ARTCAL","1",0.142857142857143,-0.56434802239261,-0.867261452159641,-0.254883871742487,0.238724209506538,-0.203968577372468,-0.589960873016829,-0.00242043453933918,-0.458051229701295,7
"22","CEAGRI","M",0.166666666666667,0.289665356626295,0.983319245456391,1.17348066157215,0.708646242203866,0.11194863737245,1.03218189934136,0.3219612950226,-0.209752307562926,1
"23","CEAGRI","M",0.166666666666667,0.367302936537105,0.600440480432385,0.27908417809476,0.597671671760254,0.24131560245125,0.685946760553251,-0.550733301148941,-0.257064676834297,1
"24","CEAGRI","M",0.166666666666667,0.134390196804676,0.791879862944388,1.35369487839222,-0.0249698343314406,0.0579309974541319,0.912470466057074,0.544655801888162,-0.818753011590868,1
"25","CEAGRI","M",0.166666666666667,1.29895389546682,0.0261223328963748,2.32151196872223,0.963876856530237,1.13224342837638,0.0827815030017452,1.47461002500371,0.0590234559490281,1
"26","CEAGRI","M",0.166666666666667,1.06604115573439,0.791879862944388,0.392552388685176,0.801428688250019,0.723838589711269,0.787726206530605,0.343407637179742,-0.367566217364701,2
"27","CEAGRI","M",0.166666666666667,0.910765995912772,0.983319245456391,0.252385775602898,1.36658816644606,0.327526507511139,0.808421883815755,0.102119464097872,-0.0990455063329251,2
"28","CEAGRI","M",0.166666666666667,1.29895389546682,-0.101503922111627,-0.0212728499386914,0.189793928431103,0.808166925237767,-0.210910547500868,-0.132752809663052,-1.16206049118899,2
"29","CEAGRI","M",0.166666666666667,0.677853256180343,0.153748587904377,0.939869639768354,1.7702276621075,0.014268126985874,-0.0780633421452112,0.755896141596797,0.205714400273759,2
"30","CEAGRI","1",0.166666666666667,0.910765995912772,-0.165317049615629,0.559417404259315,1.58316490683173,0.392463395275213,-0.29421496555588,0.436393887457376,0.197447614247685,2
