,index,Formula,AIC,BIC,VIF
0,0,fh ~ sample_wt*mpa + branching + start_temp + stem_sav,293.09,323.71,1.58
1,3,fh ~ sample_wt*mpa + branching + start_temp + stem_sav + thickness,293.76,327.45,1.88
2,4,fh ~ sample_wt*mpa + lfm + branching + start_temp + stem_sav,294.33,328.02,2.39
3,7,fh ~ sample_wt*mpa + branching + start_temp + stem_sav + leaf_sav,294.49,328.18,1.95
4,6,fh ~ sample_wt*mpa + LMA + branching + start_temp + stem_sav,294.58,328.27,2.09
5,9,fh ~ sample_wt + branching + mpa + start_temp + stem_sav,294.69,322.25,1.58
6,5,fh ~ sample_wt*mpa + branching + start_temp + dmc + stem_sav,295.04,328.73,2.31
7,8,fh ~ sample_wt*mpa + branching + start_temp + branch_volume + stem_sav,295.08,328.77,3.28
