"","label","species","plant_number","leaf_number","area_cm2","std_dev_cm2","x","y","xm","ym","perim","bx","by","width","height","major","minor","angle","circ","feret","feret_x","feret_y","feret_angle","min_feret","ar","round","solidity","x_1"
"234","MALLAU_P2_R1_W_00002.jpg","MALLAU",2,4,22.288411715,19.048017866,11.424706203,17.005731639,11.423692373,17.006007433,32.945215133,4.501108142,14.131876546,12.57526089,4.4926712,9.607699036,2.953723579,173.926695313,0.258050253,12.829120967,1067,3410,168.582917486,3.319529431,3.252741422,0.307432984,0.790368856,19
"235","MALLAU_P2_R1_W_00002.jpg","MALLAU",2,5,25.232551677,19.792120043,12.971566869,22.048238695,12.973503285,22.048375299,33.200159597,5.39120544,20.387868461,13.515979837,3.3157179,10.488517675,3.06307179,177.454146679,0.287667429,13.549641577,1280,5007,175.48226779,3.290713993,3.424182779,0.292040485,0.844939056,20
"236","MALLAU_P3_R1_W_00002.jpg","MALLAU",3,1,8.468608802,12.044101143,14.955765645,4.087509248,14.954035471,4.086878242,17.237268369,12.064825947,3.003551075,6.428949211,2.286411071,5.244134421,2.056119609,168.648345415,0.358166571,6.645021889,2861,732,165.063896817,2.229484865,2.550500661,0.392079883,0.875097461,21
"237","MALLAU_P3_R1_W_00002.jpg","MALLAU",3,2,10.166939595,12.580600623,10.829531795,8.329151427,10.828557442,8.328847952,17.328348681,7.766204394,7.162963097,6.618780388,2.362343542,5.749716656,2.251406515,179.24567703,0.425486466,6.619124525,1841,1949,179.415742067,2.354892513,2.553833178,0.391568255,0.908905933,23
"238","MALLAU_P3_R1_W_00002.jpg","MALLAU",3,3,6.357653882,18.883382513,15.94950022,13.820840504,15.949964988,13.821174452,14.703787623,13.3345856,12.587916302,5.395423911,2.286411071,4.675680057,1.731259675,14.152200643,0.369528809,5.602797597,3161,3359,15.63726147,1.829527343,2.700738731,0.370269063,0.863800886,24
"239","MALLAU_P3_R1_W_00002.jpg","MALLAU",3,4,6.87059121,8.152203069,10.957896673,19.904617985,10.95718361,19.904856464,15.356593208,9.044400989,17.780853624,3.93583308,3.809278961,4.313295892,2.028126204,46.776797234,0.36611221,5.348571588,2145,5099,43.01845875,2.193666921,2.126739394,0.470203356,0.872149064,25
"240","MALLAU_P3_R1_W_00002.jpg","MALLAU",3,5,5.030768441,11.388554732,14.01979375,22.768586701,14.017709017,22.768522445,12.858096859,11.613449591,21.906517881,5.289962146,1.65785895,4.469316789,1.433188476,9.448186388,0.382376159,5.326184595,2753,5504,6.685976823,1.488863463,3.118443152,0.320672833,0.90952934,26
"241","MALLAU_P4_R1_W_00001.jpg","MALLAU",4,1,28.082624657,27.237677711,14.125076169,2.760036755,14.148783322,2.758630329,28.561041115,8.622553928,0.776198592,10.609453586,4.045513316,9.349178845,3.824497191,1.71931601,0.432612925,10.610863283,2044,827,179.066036226,3.875116159,2.444551108,0.409073059,0.923418158,35
"242","MALLAU_P4_R1_W_00001.jpg","MALLAU",4,2,37.856016896,17.589265814,10.477458753,8.652475357,10.487030854,8.653881192,32.256996004,4.657191554,5.808834031,11.448929237,5.184500381,9.916749135,4.860441366,169.571989569,0.457190229,11.559440821,1104,1935,172.070976146,5.058094016,2.040298069,0.490124465,0.939784846,36
"243","MALLAU_P4_R1_W_00001.jpg","MALLAU",4,3,31.098516052,20.891023453,15.823724533,15.11750854,15.840176836,15.121414445,27.804435889,10.883654176,12.727125832,9.664516169,4.728905555,8.90210007,4.447923536,171.017341201,0.505500225,9.755994699,2583,3384,171.621137493,4.597115473,2.001405824,0.499648791,0.950627791,38
